Date,Historical,Variance-%,CSU-Model,Actual,Deviation,LQ Diff,UQ Diff,Predicted-LQ,Predicted-Median,Predicted-UQ
7/6/23,3.1,1.02,4.05,9.2,5.15,22.1,17.6,105.98,128.06,145.71
7/7/23,3.4,1.01,4.44,9,4.56,22.1,17.6,105.42,127.47,145.09
7/8/23,3.9,1.01,5.09,9,3.91,22.0,17.6,104.82,126.82,144.39
7/9/23,4.3,1.00,5.62,9,3.38,21.9,17.5,104.35,126.29,143.83
7/10/23,4.8,1.00,6.27,9,2.73,21.9,17.5,103.75,125.64,143.13
7/11/23,5.2,0.99,6.79,9,2.21,21.8,17.5,103.28,125.12,142.57
7/12/23,5.5,0.99,7.18,9,1.82,21.8,17.4,102.92,124.73,142.15
7/13/23,5.7,0.99,7.44,9,1.56,21.8,17.4,102.68,124.47,141.87
7/14/23,6,0.99,7.84,9.6,1.76,21.7,17.4,102.92,124.67,142.05
7/15/23,6.4,0.98,8.36,10.4,2.04,21.7,17.3,103.25,124.95,142.29
7/16/23,6.7,0.98,8.75,10.5,1.75,21.7,17.3,102.99,124.66,141.97
7/17/23,7.1,0.97,9.27,10.5,1.23,21.6,17.3,102.52,124.14,141.41
7/18/23,7.5,0.97,9.80,11,1.20,21.6,17.2,102.54,124.11,141.35
7/19/23,7.8,0.97,10.19,11.8,1.61,21.5,17.2,102.99,124.52,141.73
7/20/23,8.2,0.96,10.71,12.6,1.89,21.5,17.2,103.31,124.80,141.97
7/21/23,8.3,0.96,10.84,13.3,2.46,21.5,17.2,103.89,125.37,142.53
7/22/23,8.5,0.96,11.10,14.4,3.30,21.5,17.1,104.75,126.21,143.35
7/23/23,8.6,0.96,11.23,15.8,4.57,21.4,17.1,106.04,127.48,144.61
7/24/23,8.8,0.96,11.49,16.2,4.71,21.4,17.1,106.20,127.62,144.73
7/25/23,9,0.95,11.76,16.2,4.44,21.4,17.1,105.96,127.35,144.45
7/26/23,9.1,0.95,11.89,16.2,4.31,21.4,17.1,105.84,127.22,144.31
7/27/23,9.2,0.95,12.02,16.2,4.18,21.4,17.1,105.72,127.09,144.17
7/28/23,9.2,0.95,12.02,16.2,4.18,21.4,17.1,105.72,127.09,144.17
7/29/23,9.3,0.95,12.15,16.2,4.05,21.4,17.1,105.60,126.96,144.03
7/30/23,9.4,0.95,12.28,16.2,3.92,21.3,17.1,105.49,126.83,143.89
7/31/23,9.6,0.95,12.54,16.2,3.66,21.3,17.0,105.25,126.57,143.61
8/1/23,9.8,0.95,12.80,16.2,3.40,21.3,17.0,105.01,126.31,143.33
8/2/23,10,0.94,13.06,16.2,3.14,21.3,17.0,104.77,126.05,143.05
8/3/23,10.4,0.94,13.58,16.2,2.62,21.2,17.0,104.30,125.53,142.49
8/4/23,10.8,0.94,14.11,16.2,2.09,21.2,16.9,103.82,125.00,141.93
8/5/23,11.2,0.93,14.63,16.2,1.57,21.1,16.9,103.35,124.48,141.37
8/6/23,11.5,0.93,15.02,16.2,1.18,21.1,16.9,103.00,124.09,140.95
8/7/23,11.8,0.92,15.41,16.2,0.79,21.1,16.8,102.64,123.70,140.53
8/8/23,12.1,0.92,15.80,16.2,0.40,21.0,16.8,102.28,123.31,140.10
8/9/23,12.3,0.92,16.07,16.2,0.13,21.0,16.8,102.05,123.04,139.82
8/10/23,12.5,0.92,16.33,16.2,-0.13,21.0,16.8,101.81,122.78,139.54
8/11/23,12.8,0.91,16.72,16.2,-0.52,20.9,16.7,101.45,122.39,139.12
8/12/23,13.2,0.91,17.24,16.2,-1.04,20.9,16.7,100.98,121.87,138.56
